Incident Address Display,Borough,Community Board,Police Precinct,Status,Resolution Action
10 JERSEY STREET,MANHATTAN,02 MANHATTAN,Precinct 5,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
10 LINCOLN CENTER PLAZA,MANHATTAN,07 MANHATTAN,Precinct 20,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
10 MANHATTAN AVENUE,MANHATTAN,07 MANHATTAN,Precinct 24,Closed,Cleaning crew dispatched.  Property cleaned.
10 MAPLE STREET,BROOKLYN,09 BROOKLYN,Precinct 71,Closed,Cleaning crew dispatched.  Property cleaned.
10 MCGUINNESS BOULEVARD,BROOKLYN,01 BROOKLYN,Precinct 94,Closed,Cleaning crew dispatched.  Owner refused.
10 MURRAY STREET,MANHATTAN,01 MANHATTAN,Precinct 1,Open,Site downloaded for cleaning
10 SCHOOL STREET,STATEN ISLAND,03 STATEN ISLAND,Precinct 122,Open,Unspecified
10 SEELEY LANE,STATEN ISLAND,03 STATEN ISLAND,Precinct 122,Open,Site downloaded for cleaning
10 ST NICHOLAS PLACE,MANHATTAN,09 MANHATTAN,Precinct 30,Open,Unspecified
10 ST NICHOLAS TERRACE,MANHATTAN,09 MANHATTAN,Precinct 26,Closed,Cleaning crew dispatched.  Property cleaned.
10 VAN CORTLANDT AVENUE EAST,BRONX,07 BRONX,Precinct 52,Open,Site downloaded for cleaning
10 WEST 65 STREET,MANHATTAN,07 MANHATTAN,Precinct 20,Closed,Cleaning crew dispatched.  Property cleaned.
10-15 46 ROAD,QUEENS,02 QUEENS,Precinct 108,Closed,Cleaning crew dispatched.  Property cleaned.
10-21 CLINTONVILLE STREET,QUEENS,07 QUEENS,Precinct 109,Closed,Cleaning crew dispatched.  Property cleaned.
10-25 WYCKOFF AVENUE,QUEENS,05 QUEENS,Precinct 104,Closed,Cleaning crew dispatched.  Property cleaned.
10-51 GRANGER ST,QUEENS,Unspecified QUEENS,Unspecified,Open,Unspecified
10-51 WYCKOFF AVENUE,QUEENS,05 QUEENS,Precinct 104,Closed,Cleaning crew dispatched.  Property cleaned.
10-51 WYCKOFF AVENUE,QUEENS,05 QUEENS,Precinct 104,Open,Site downloaded for cleaning
10-69 WYCKOFF AVENUE,QUEENS,05 QUEENS,Precinct 104,Closed,Cleaning crew dispatched.  Property cleaned.
100 ALCOTT PLACE,BRONX,10 BRONX,Precinct 45,Closed,Cleaning crew dispatched.  Property cleaned.
100 ALDRICH STREET,BRONX,10 BRONX,Precinct 45,Closed,Cleaning crew dispatched.  Property cleaned.
100 AUDUBON AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,Closed,Cleaning crew dispatched.  Property cleaned.
100 BAYARD STREET,BROOKLYN,01 BROOKLYN,Precinct 94,Closed,Cleaning crew dispatched.  Property cleaned.
100 BAYARD STREET,BROOKLYN,01 BROOKLYN,Precinct 94,Open,Site downloaded for cleaning
100 BELLAMY LOOP,BRONX,10 BRONX,Precinct 45,Closed,Cleaning crew dispatched.  Property cleaned.
100 COOP CITY BOULEVARD,BRONX,10 BRONX,Precinct 45,Closed,Cleaning crew dispatched.  Property cleaned.
100 DARROW PLACE,BRONX,10 BRONX,Precinct 45,Closed,Cleaning crew dispatched.  Property cleaned.
100 DEKALB AVENUE,BROOKLYN,02 BROOKLYN,Precinct 88,Closed,Cleaning crew dispatched.  Property cleaned.
100 DELANCEY STREET,MANHATTAN,03 MANHATTAN,Precinct 7,Closed,Cleaning crew dispatched.  Property cleaned.
100 DELANCEY STREET,MANHATTAN,03 MANHATTAN,Precinct 7,Closed,Cleaning crew dispatched.  Property cleaned.
100 DELANCY STREET,MANHATTAN,03 MANHATTAN,Precinct 7,Closed,Cleaning crew dispatched.  Property cleaned.
100 DONIZETTI PLACE,BRONX,10 BRONX,Precinct 45,Closed,Cleaning crew dispatched.  Property cleaned.
100 DOWNING STREET,BROOKLYN,02 BROOKLYN,Precinct 88,Open,Site downloaded for cleaning
100 EAST 122 STREET,MANHATTAN,11 MANHATTAN,Precinct 25,Closed,Cleaning crew dispatched.  Property cleaned.
100 EAST 30 STREET,MANHATTAN,05 MANHATTAN,Unspecified,Closed,Cleaning crew dispatched.  Property cleaned.
100 EAST 31 STREET,MANHATTAN,05 MANHATTAN,Unspecified,Closed,Cleaning crew dispatched.  Property cleaned.
100 EAST 96 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,Closed,Cleaning crew dispatched.  Property cleaned.
100 EAST FORDHAM ROAD,BRONX,05 BRONX,Precinct 46,Closed,Cleaning crew dispatched.  Property cleaned.
100 EAST FORDHAM ROAD,BRONX,05 BRONX,Precinct 46,Open,Site downloaded for cleaning
100 EINSTEIN LOOP,BRONX,10 BRONX,Precinct 45,Closed,Cleaning crew dispatched.  Property cleaned.
100 ELGAR PLACE,BRONX,10 BRONX,Precinct 45,Closed,Cleaning crew dispatched.  Property cleaned.
100 ERDMAN PLACE,BRONX,10 BRONX,Precinct 45,Closed,Cleaning crew dispatched.  Property cleaned.
100 ERSKINE PLACE,BRONX,10 BRONX,Precinct 45,Closed,Cleaning crew dispatched.  Property cleaned.
100 FREEMAN STREET,BROOKLYN,01 BROOKLYN,Precinct 94,Closed,Cleaning crew dispatched.  Property cleaned.
100 GRAND STREET,MANHATTAN,02 MANHATTAN,Precinct 1,Closed,Cleaning crew dispatched. No graffiti on property.
100 KINGSTON AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,Open,Site downloaded for cleaning
100 LEXINGTON AVENUE,MANHATTAN,05 MANHATTAN,Precinct 13,Closed,Cleaning crew dispatched.  Property cleaned.
100 MANHATTAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,Closed,Cleaning crew dispatched.  Property cleaned.
100 METROPOLITAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,Closed,Cleaning crew dispatched.  Property cleaned.
100 MOSCO STREET,MANHATTAN,03 MANHATTAN,Precinct 5,Open,Site downloaded for cleaning
100 NORFOLK STREET,MANHATTAN,03 MANHATTAN,Precinct 7,Closed,Cleaning crew dispatched.  Property cleaned.
100 NORTH 1 STREET,BROOKLYN,01 BROOKLYN,Precinct 90,Closed,Graffiti is intentional.
100 NORTH 4 STREET,BROOKLYN,01 BROOKLYN,Precinct 94,Closed,Cleaning crew dispatched.  Property cleaned.
100 PIAVE AVENUE,STATEN ISLAND,02 STATEN ISLAND,Precinct 122,Closed,Cleaning crew dispatched.  Property cleaned.
100 POST AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,Closed,Cleaning crew dispatched.  Property cleaned.
100 ST NICHOLAS AVENUE,MANHATTAN,10 MANHATTAN,Precinct 28,Closed,Cleaning crew dispatched. No graffiti on property.
100 SULLIVAN STREET,MANHATTAN,02 MANHATTAN,Precinct 1,Closed,Cleaning crew dispatched.  Property cleaned.
100 UNIVERSITY PLACE,MANHATTAN,02 MANHATTAN,Precinct 6,Closed,Cleaning crew dispatched.  Property cleaned.
100 WEST 106 STREET,MANHATTAN,07 MANHATTAN,Precinct 24,Closed,Cleaning crew dispatched. No graffiti on property.
100 WEST 106 STREET,MANHATTAN,Unspecified MANHATTAN,Unspecified,Closed,Cleaning crew dispatched.  Property cleaned.
100 WEST 114 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,Open,Site downloaded for cleaning
100 WEST 134 STREET,MANHATTAN,10 MANHATTAN,Precinct 32,Closed,Cleaning crew dispatched. No graffiti on property.
100 WEST 139 STREET,MANHATTAN,10 MANHATTAN,Precinct 32,Closed,Cleaning crew dispatched.  Property cleaned.
100 WEST 141 STREET,MANHATTAN,10 MANHATTAN,Precinct 32,Closed,Cleaning crew dispatched.  Property cleaned.
100 WEST 168 STREET,BRONX,04 BRONX,Precinct 44,Closed,Cleaning crew dispatched.  Property cleaned.
100 WEST 168 STREET,BRONX,04 BRONX,Precinct 44,Open,Site downloaded for cleaning
100 WEST 33 STREET,MANHATTAN,05 MANHATTAN,Precinct 14,Closed,Cleaning crew dispatched. No graffiti on property.
100 WEST 83 STREET,MANHATTAN,07 MANHATTAN,Precinct 20,Closed,Cleaning crew dispatched.  Property cleaned.
100-01 BELLAIRE PLACE,QUEENS,13 QUEENS,Precinct 105,Open,Unspecified
100-05 91 AVENUE,QUEENS,09 QUEENS,Precinct 102,Closed,Cleaning crew dispatched.  Property cleaned.
100-05 ATLANTIC AVENUE,QUEENS,09 QUEENS,Precinct 102,Open,Site downloaded for cleaning
100-09 ATLANTIC AVENUE,QUEENS,09 QUEENS,Precinct 102,Closed,Cleaning crew dispatched.  Property cleaned.
100-10 133 AVENUE,QUEENS,10 QUEENS,Precinct 106,Open,Site downloaded for cleaning
100-11 91 AVENUE,QUEENS,09 QUEENS,Precinct 102,Closed,Cleaning crew dispatched.  Property cleaned.
100-11 ASTORIA BOULEVARD,QUEENS,03 QUEENS,Precinct 115,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
100-13 ROOSEVELT AVENUE,QUEENS,03 QUEENS,Precinct 115,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
100-16 ATLANTIC AVENUE,QUEENS,09 QUEENS,Precinct 102,Closed,Cleaning crew dispatched.  Property cleaned.
100-16 NORTHERN BOULEVARD,QUEENS,03 QUEENS,Precinct 115,Closed,Cleaning crew dispatched.  Property cleaned.
100-17 91 AVENUE,QUEENS,09 QUEENS,Precinct 102,Open,Unspecified
100-20 ATLANTIC AVENUE,QUEENS,09 QUEENS,Precinct 102,Closed,Cleaning crew dispatched.  Property cleaned.
100-25 91 AVENUE,QUEENS,09 QUEENS,Precinct 102,Closed,Cleaning crew dispatched.  Property cleaned.
100-25 QUEENS BOULEVARD,QUEENS,06 QUEENS,Precinct 112,Closed,Cleaning crew dispatched.  Property cleaned.
100-26 91 AVENUE,QUEENS,09 QUEENS,Precinct 102,Closed,Cleaning crew dispatched.  Property cleaned.
100-55 223 STREET,QUEENS,13 QUEENS,Precinct 105,Closed,Cleaning crew dispatched.  Property cleaned.
100-59 223 STREET,QUEENS,13 QUEENS,Precinct 105,Closed,Cleaning crew dispatched.  Property cleaned.
100-61 223 STREET,QUEENS,13 QUEENS,Precinct 105,Closed,Cleaning crew dispatched.  Property cleaned.
1000 CRESCENT STREET,BROOKLYN,05 BROOKLYN,Precinct 75,Closed,Cleaning crew dispatched.  Property cleaned.
1000 CYPRESS AVENUE,QUEENS,05 QUEENS,Precinct 104,Open,Unspecified
1000 EAST GUN HILL ROAD,BRONX,12 BRONX,Precinct 47,Closed,Cleaning crew dispatched.  Property cleaned.
1000 MORRIS PARK AVENUE,BRONX,11 BRONX,Precinct 49,Closed,Cleaning crew dispatched.  Property cleaned.
1000 PELHAM PARKWAY,BRONX,11 BRONX,Precinct 49,Closed,Cleaning crew dispatched.  Property cleaned.
1000 RICHMOND TERRACE,STATEN ISLAND,01 STATEN ISLAND,Precinct 120,Open,Unspecified
1000 TIFFANY STREET,BRONX,02 BRONX,Precinct 41,Closed,Cleaning crew dispatched.  Property cleaned.
10009 GLENWOOD ROAD,BROOKLYN,18 BROOKLYN,Precinct 69,Closed,Cleaning crew dispatched.  Cannot locate property.
1001 CASTLE HILL AVENUE,BRONX,09 BRONX,Precinct 43,Open,Site downloaded for cleaning
1001 EAST 163 STREET,BRONX,02 BRONX,Precinct 41,Closed,Cleaning crew dispatched.  Property cleaned.
1001 ELDER AVENUE,BRONX,09 BRONX,Precinct 43,Closed,Cleaning crew dispatched.  Property cleaned.
1001 ELDER AVENUE,BRONX,09 BRONX,Precinct 43,Closed,Cleaning crew dispatched.  Property cleaned.
1001 IRVING AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,Open,Site downloaded for cleaning
1001 MANHATTAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,Closed,Cleaning crew dispatched.  Property cleaned.
1001 MORRIS PARK AVENUE,BRONX,11 BRONX,Precinct 49,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
1001 ST NICHOLAS AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,Closed,Cleaning crew dispatched. No graffiti on property.
1001 ST NICHOLAS AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,Closed,Cleaning crew dispatched.  Property cleaned.
1001 ST NICHOLAS AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,Closed,Cleaning crew dispatched.  Property cleaned.
1001 WARD AVENUE,BRONX,09 BRONX,Precinct 43,Closed,Cleaning crew dispatched.  Property cleaned.
1002 BUSHWICK AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,Closed,Cleaning crew dispatched.  Property cleaned.
1002 DITMAS AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,Closed,Cleaning crew dispatched.  Property cleaned.
1002 FULTON STREET,BROOKLYN,02 BROOKLYN,Precinct 88,Open,Site downloaded for cleaning
1002 JAMAICA AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,Closed,Cleaning crew dispatched.  Property cleaned.
1002 TIFFANY STREET,BRONX,02 BRONX,Precinct 41,Closed,Cleaning crew dispatched.  Property cleaned.
1003 PIERCE AVENUE,BRONX,11 BRONX,Precinct 49,Closed,Cleaning crew dispatched.  Property cleaned.
1004 BROADWAY,BROOKLYN,03 BROOKLYN,Precinct 81,Closed,Cleaning crew dispatched.  Property cleaned.
1004 SOUTHERN BOULEVARD,BRONX,02 BRONX,Precinct 41,Closed,Cleaning crew dispatched.  Property cleaned.
1004 SOUTHERN BOULEVARD,BRONX,02 BRONX,Precinct 41,Closed,Cleaning crew dispatched.  Property cleaned.
1004 TIFFANY STREET,BRONX,02 BRONX,Precinct 41,Closed,Cleaning crew dispatched.  Property cleaned.
1005 BEDFORD AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,Closed,Cleaning crew dispatched.  Property cleaned.
1005 BROADWAY,BROOKLYN,04 BROOKLYN,Precinct 83,Open,Site to be cleaned.
1005 INTERVALE AVENUE,BRONX,02 BRONX,Precinct 41,Closed,Cleaning crew dispatched.  Property cleaned.
1005 MANHATTAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,Closed,Cleaning crew dispatched.  Property cleaned.
1006 ATLANTIC AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,Closed,Cleaning crew dispatched.  Property cleaned.
1006 FULTON STREET,BROOKLYN,02 BROOKLYN,Precinct 88,Open,Site downloaded for cleaning
1007 MORRIS PARK AVENUE,BRONX,11 BRONX,Precinct 49,Open,Site downloaded for cleaning
1008 FULTON STREET,BROOKLYN,02 BROOKLYN,Precinct 88,Closed,Cleaning crew dispatched.  Property cleaned.
1009 BROADWAY,BROOKLYN,04 BROOKLYN,Precinct 83,Open,Unspecified
101 AUDUBON AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,Closed,Cleaning crew dispatched.  Property cleaned.
101 BERRY STREET,BROOKLYN,01 BROOKLYN,Precinct 94,Closed,Cleaning crew dispatched.  Property cleaned.
101 CASTLETON AVENUE,STATEN ISLAND,01 STATEN ISLAND,Precinct 120,Closed,Cleaning crew dispatched.  Property cleaned.
101 CHRYSTIE STREET,MANHATTAN,03 MANHATTAN,Precinct 5,Closed,Cleaning crew dispatched.  Property cleaned.
101 DITMAS AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,Closed,Cleaning crew dispatched.  Property cleaned.
101 EAST 165 STREET,BRONX,04 BRONX,Precinct 44,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
101 EAST 196 STREET,BRONX,07 BRONX,Precinct 52,Closed,Cleaning crew dispatched.  Property cleaned.
101 EAST BURNSIDE AVENUE,BRONX,05 BRONX,Precinct 46,Closed,Cleaning crew dispatched.  Property cleaned.
101 EAST MOUNT EDEN AVENUE,BRONX,04 BRONX,Precinct 44,Closed,Cleaning crew dispatched.  Property cleaned.
101 EDGECOMBE AVENUE,MANHATTAN,10 MANHATTAN,Precinct 32,Closed,Cleaning crew dispatched.  Property cleaned.
101 HAMPTON AVENUE,BROOKLYN,15 BROOKLYN,Precinct 61,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
101 KINGSTON AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,Closed,Cleaning crew dispatched.  Property cleaned.
101 SACKETT STREET,BROOKLYN,06 BROOKLYN,Precinct 76,Open,Unspecified
101 SAINT NICHOLAS AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,Closed,Cleaning crew dispatched.  Property cleaned.
101 SHERMAN AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,Closed,Cleaning crew dispatched.  Property cleaned.
101 ST NICHOLAS AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,Closed,Cleaning crew dispatched.  Property cleaned.
101 WEST 104 STREET,MANHATTAN,07 MANHATTAN,Precinct 24,Closed,Cleaning crew dispatched. No graffiti on property.
101 WEST 116 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,Closed,Cleaning crew dispatched.  Property cleaned.
101 WEST 116 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
101 WEST 126 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,Closed,Cleaning crew dispatched.  Property cleaned.
101 WEST 131 STREET,MANHATTAN,10 MANHATTAN,Precinct 32,Closed,Cleaning crew dispatched.  Property cleaned.
101 WEST 132 STREET,MANHATTAN,Unspecified MANHATTAN,Unspecified,Closed,Cleaning crew dispatched.  Property cleaned.
101 WEST 136 STREET,MANHATTAN,10 MANHATTAN,Precinct 32,Closed,Cleaning crew dispatched. No graffiti on property.
101 WEST 140 STREET,MANHATTAN,10 MANHATTAN,Precinct 32,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
101 WEST 141 STREET,MANHATTAN,10 MANHATTAN,Precinct 32,Closed,Cleaning crew dispatched.  Property cleaned.
101 WEST 74 STREET,MANHATTAN,07 MANHATTAN,Precinct 20,Closed,Cleaning crew dispatched.  Property cleaned.
101-01 101 AVENUE,QUEENS,09 QUEENS,Precinct 102,Open,Site downloaded for cleaning
101-02 101 AVENUE,QUEENS,09 QUEENS,Precinct 102,Open,Site downloaded for cleaning
101-02 34 AVENUE,QUEENS,03 QUEENS,Precinct 115,Open,Site to be cleaned.
101-03 85 ROAD,QUEENS,09 QUEENS,Precinct 102,Closed,Cleaning crew dispatched.  Property cleaned.
101-03 85 ROAD,QUEENS,09 QUEENS,Precinct 102,Closed,Cleaning crew dispatched.  Property cleaned.
101-04 34 AVENUE,QUEENS,03 QUEENS,Precinct 115,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
101-05 JAMAICA AVENUE,QUEENS,09 QUEENS,Precinct 102,Closed,Cleaning crew dispatched.  Property cleaned.
101-05 JAMAICA AVENUE,QUEENS,09 QUEENS,Precinct 102,Closed,Cleaning crew dispatched.  Property cleaned.
101-07 126 STREET,QUEENS,09 QUEENS,Precinct 102,Closed,Cleaning crew dispatched.  Property cleaned.
101-07 JAMAICA AVENUE,QUEENS,09 QUEENS,Precinct 102,Closed,Cleaning crew dispatched.  Property cleaned.
101-08 97 AVENUE,QUEENS,09 QUEENS,Precinct 102,Closed,Cleaning crew dispatched.  Property cleaned.
101-09 JAMAICA AVENUE,QUEENS,09 QUEENS,Precinct 102,Closed,Cleaning crew dispatched.  Property cleaned.
101-10 97 AVENUE,QUEENS,09 QUEENS,Precinct 102,Open,Unspecified
101-11 JAMAICA AVENUE,QUEENS,09 QUEENS,Precinct 102,Closed,Cleaning crew dispatched.  Property cleaned.
101-13 JAMAICA AVENUE,QUEENS,09 QUEENS,Precinct 102,Closed,Cleaning crew dispatched.  Property cleaned.
101-15 ASTORIA BOULEVARD,QUEENS,03 QUEENS,Precinct 115,Closed,Cleaning crew dispatched.  Property cleaned.
101-15 ROCKAWAY BOULEVARD,QUEENS,10 QUEENS,Precinct 106,Closed,Cleaning crew dispatched.  Property cleaned.
101-16 39 AVENUE,QUEENS,03 QUEENS,Precinct 115,Closed,Cleaning crew dispatched.  Property cleaned.
101-19 JAMAICA AVENUE,QUEENS,09 QUEENS,Precinct 102,Closed,Cleaning crew dispatched.  Property cleaned.
101-21 39 AVENUE,QUEENS,03 QUEENS,Precinct 115,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
101-21 MARTENSE AVENUE,QUEENS,04 QUEENS,Precinct 110,Closed,Cleaning crew dispatched.  Property cleaned.
101-21 MARTENSE AVENUE,QUEENS,04 QUEENS,Precinct 110,Closed,Cleaning crew dispatched.  Property cleaned.
101-23 44 AVENUE,QUEENS,04 QUEENS,Precinct 110,Closed,Cleaning crew dispatched.  Property cleaned.
1010 EAST 14 STREET,BROOKLYN,14 BROOKLYN,Precinct 70,Open,Site downloaded for cleaning
1010 SOUTHERN BOULEVARD,BRONX,02 BRONX,Precinct 41,Closed,Cleaning crew dispatched.  Property cleaned.
10103 88 RD,QUEENS,Unspecified QUEENS,Unspecified,Open,Unspecified
1011 38 STREET,BROOKLYN,12 BROOKLYN,Precinct 66,Open,Site to be cleaned.
1011 AVENUE J,BROOKLYN,12 BROOKLYN,Precinct 66,Closed,Cleaning crew dispatched.  Property cleaned.
1011 BEDFORD AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,Closed,Cleaning crew dispatched.  Property cleaned.
1011 BROADWAY,BROOKLYN,04 BROOKLYN,Precinct 83,Closed,Cleaning crew dispatched.  Property cleaned.
1011 BROADWAY,BROOKLYN,04 BROOKLYN,Precinct 83,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
1011 RUTLAND ROAD,BROOKLYN,17 BROOKLYN,Precinct 67,Pending,Cleaning crew dispatched.  Property cleaned.
1011 WALTON AVENUE,BRONX,04 BRONX,Precinct 44,Closed,Cleaning crew dispatched.  Property cleaned.
1011 WESTCHESTER AVENUE,BRONX,02 BRONX,Precinct 41,Closed,Cleaning crew dispatched.  Property cleaned.
1011 WHITE PLAINS ROAD,BRONX,09 BRONX,Precinct 43,Closed,Cleaning crew dispatched.  Property cleaned.
1011 WHITEPLAINS ROAD,BRONX,09 BRONX,Precinct 43,Closed,Cleaning crew dispatched.  Property cleaned.
1012 OCEAN AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,Closed,Cleaning crew dispatched.  Property cleaned.
1012 SOUTHERN BOULEVARD,BRONX,02 BRONX,Precinct 41,Closed,Cleaning crew dispatched.  Property cleaned.
1013 EAST 163 STREET,BRONX,02 BRONX,Precinct 41,Closed,Cleaning crew dispatched.  Property cleaned.
1014 FULTON STREET,BROOKLYN,02 BROOKLYN,Precinct 88,Closed,Cleaning crew dispatched.  Property cleaned.
1014 MANHATTAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,Closed,Cleaning crew dispatched.  Property cleaned.
1015 CASTLEHILL AVENUE,BRONX,09 BRONX,Precinct 43,Closed,Cleaning crew dispatched.  Property cleaned.
1015 CASTLEHILL AVENUE,BRONX,09 BRONX,Precinct 43,Open,Site to be cleaned.
1015 FOX STREET,BRONX,02 BRONX,Precinct 41,Open,Site downloaded for cleaning
1015 INTERVALE AVENUE,BRONX,02 BRONX,Precinct 41,Closed,Cleaning crew dispatched.  Property cleaned.
1015 TIFFANY STREET,BRONX,02 BRONX,Precinct 41,Open,Site downloaded for cleaning
1016 RUTLAND ROAD,BROOKLYN,17 BROOKLYN,Precinct 67,Open,Site downloaded for cleaning
1016 VAN SICLEN AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,Closed,Cleaning crew dispatched.  Property cleaned.
